,date,rates
GBP,2022-06-08,0.854673
GEL,2022-06-08,3.1617319999999998
GGP,2022-06-08,0.8770300000000001
GHS,2022-06-08,8.43769
GIP,2022-06-08,0.8770300000000001
GMD,2022-06-08,57.926626
GNF,2022-06-08,9480.294035
GTQ,2022-06-08,8.255461
GYD,2022-06-08,224.16032
HKD,2022-06-08,8.410904
HNL,2022-06-08,26.327118
HRK,2022-06-08,7.521726
HTG,2022-06-08,121.07276
HUF,2022-06-08,395.322894
IDR,2022-06-08,15554.34784
ILS,2022-06-08,3.564651
IMP,2022-06-08,0.8770300000000001
INR,2022-06-08,83.299779
IQD,2022-06-08,1563.784849
IRR,2022-06-08,45387.791389
ISK,2022-06-08,138.907393
JEP,2022-06-08,0.8770300000000001
JMD,2022-06-08,164.562481
JOD,2022-06-08,0.7598739999999999
JPY,2022-06-08,144.076497
KES,2022-06-08,125.414133
KGS,2022-06-08,85.212654
KHR,2022-06-08,4350.071536
KMF,2022-06-08,493.156903
KPW,2022-06-08,964.557786
KRW,2022-06-08,1347.277942
KWD,2022-06-08,0.328432
KYD,2022-06-08,0.892863
KZT,2022-06-08,465.278854
LAK,2022-06-08,15373.577799
LBP,2022-06-08,1620.00734
LKR,2022-06-08,384.111556
LRD,2022-06-08,162.903448
LSL,2022-06-08,16.493896
LTL,2022-06-08,3.164542
LVL,2022-06-08,0.6482789999999999
LYD,2022-06-08,5.125138
MAD,2022-06-08,10.529515
MDL,2022-06-08,20.409105
MGA,2022-06-08,4341.630816
MKD,2022-06-08,61.611586
MMK,2022-06-08,1983.772552
MNT,2022-06-08,3296.39771
MOP,2022-06-08,8.660363
MRO,2022-06-08,382.607643
MUR,2022-06-08,47.639138
MVR,2022-06-08,16.547213
MWK,2022-06-08,1094.883228
MXN,2022-06-08,20.995845
MYR,2022-06-08,4.709196
MZN,2022-06-08,68.408925
NAD,2022-06-08,16.49376
NGN,2022-06-08,444.90762
NIO,2022-06-08,38.411206
NOK,2022-06-08,10.157642
NPR,2022-06-08,133.159846
NZD,2022-06-08,1.6634120000000001
OMR,2022-06-08,0.41262899999999997
PAB,2022-06-08,1.071476
PEN,2022-06-08,4.020733
PGK,2022-06-08,3.823829
PHP,2022-06-08,57.011748
PKR,2022-06-08,214.556019
PLN,2022-06-08,4.587232
PYG,2022-06-08,7310.1232
QAR,2022-06-08,3.902153
RON,2022-06-08,4.943355
RSD,2022-06-08,117.391962
RUB,2022-06-08,64.30394
RWF,2022-06-08,1110.718076
SAR,2022-06-08,4.020208
SBD,2022-06-08,8.699204
SCR,2022-06-08,15.254454
SDG,2022-06-08,488.172857
SEK,2022-06-08,10.531683
SGD,2022-06-08,1.474953
SHP,2022-06-08,1.476197
SLL,2022-06-08,13975.367457
SOS,2022-06-08,624.281339
SRD,2022-06-08,23.309606
STD,2022-06-08,22182.659781
SVC,2022-06-08,9.375413
SYP,2022-06-08,2692.670122
SZL,2022-06-08,16.459446
THB,2022-06-08,36.985956
TJS,2022-06-08,11.839573
TMT,2022-06-08,3.751057
TND,2022-06-08,3.244173
TOP,2022-06-08,2.471516
TRY,2022-06-08,18.423589
TTD,2022-06-08,7.268843
TWD,2022-06-08,31.566539
TZS,2022-06-08,2496.060839
UAH,2022-06-08,31.633365
UGX,2022-06-08,3990.793577
USD,2022-06-08,1.071731
UYU,2022-06-08,42.541185
UZS,2022-06-08,11828.827781
VEF,2022-06-08,229168394303.5413
VND,2022-06-08,24855.576272
VUV,2022-06-08,122.462009
WST,2022-06-08,2.764361
XAF,2022-06-08,655.636201
XAG,2022-06-08,0.048596
XAU,2022-06-08,0.000578
XCD,2022-06-08,2.896406
XDR,2022-06-08,0.79671
XOF,2022-06-08,655.645373
XPF,2022-06-08,119.899836
YER,2022-06-08,268.200755
ZAR,2022-06-08,16.389546
ZMK,2022-06-08,9646.855027
ZMW,2022-06-08,18.078952
ZWL,2022-06-08,345.096819
AED,2022-06-07,3.9292800000000003
AFN,2022-06-07,94.668975
